scei;nom;etat;total_oral;total_points;moyenne_generale;rang_classe
31288;OLIVIER;7;457;881,75;14,7;61
107239;GUILBERT;7;457,5;777;12,95;582
117319;BARTHELEMY;7;457,5;806;13,43;331
37938;CHARTIER;7;458;750,5;12,51;850
104737;PRUVOST;7;458;754;12,57;811
31950;LEMOINE;7;458;769,5;12,83;653
63437;FLEURY;7;458;777,75;12,96;570
45252;VERDIER;7;458;778;12,97;567
85219;GUILLON;7;458;788,5;13,14;473
31486;DA COSTA;7;458;789,75;13,16;464
64589;GREGOIRE;7;458;794;13,23;431
71391;ANTOINE;7;458;793,75;13,23;435
40500;BOULAY;7;458;796,75;13,28;410
71721;DUPUIS;7;458;819,25;13,65;250
117690;LUCAS;7;458;876;14,6;72
31794;DESCAMPS;7;458,5;830;13,83;188
27943;LOPEZ;7;459;755,75;12,6;790
16626;ROYER;7;459;793,5;13,23;439
24397;LEMONNIER;7;459;811,75;13,53;292
52161;WEISS;7;459,5;880,75;14,68;65
35070;BARBIER;7;460;739;12,32;968
14405;MARECHAL;7;460;750;12,5;859
64187;RENAULT;7;460;757,5;12,63;769
102722;JOSEPH;7;460;770,5;12,84;640
41684;GIMENEZ;7;460;778,25;12,97;566
39323;POTIER;7;460;799,75;13,33;382
32478;RICHARD;7;460;802,75;13,38;351
68805;VERDIER;7;460;805,75;13,43;333
43254;DUMAS;7;460;805,5;13,43;335
68770;BOYER;7;461;750,5;12,51;849
35769;PAYET;7;461;803,5;13,39;344
86771;BOUVET;7;461;812,25;13,54;290
7849;DUPONT;7;461;817,25;13,62;261
90429;LEFEVRE;7;462;771,25;12,85;635
52557;MARY;7;462;781,5;13,03;542
42946;DIALLO;7;462;794;13,23;430
81765;LECLERCQ;7;462;803,5;13,39;347
36629;ALVES;7;462;806,5;13,44;325
66948;EVRARD;7;462;847,5;14,13;139
2392;COSTE;7;462;879,25;14,65;67
76720;CHARLES;7;463;775;12,92;600
110942;CHARLES;7;463;797;13,28;406
32737;NORMAND;7;463;872,25;14,54;78
97615;BARON;7;463;898,5;14,98;37
47579;DELMAS;7;463,5;905;15,08;30
115260;TEIXEIRA;7;464;824;13,73;227
53176;TOUSSAINT;7;464;824,5;13,74;222
49550;DELORME;7;464;827,75;13,8;203
65129;MERLE;7;464;842,75;14,05;150
15803;BERNARD;7;464;911,75;15,2;23
95396;MAILLET;7;464;980,75;16,35;3
76019;TURPIN;7;464,5;740,5;12,34;957
91888;ROUSSET;7;465;783,75;13,06;520
104543;LEVEQUE;7;465;800;13,33;380
5932;MENARD;7;465;833,75;13,9;177
92585;LEDUC;7;466;795;13,25;418
65644;DELATTRE;7;466;800,5;13,34;370
117987;FERNANDES;7;466;802,25;13,37;354
13130;JACQUOT;7;466;811,75;13,53;293
115154;THOMAS;7;466;813,5;13,56;283
44708;RIBEIRO;7;466;832,5;13,88;182
18120;WEBER;7;466;893;14,88;43
23449;MARTINEZ;7;467;762,5;12,71;705
61962;DEVAUX;7;467;769,25;12,82;654
35490;CHAUVIN;7;467;775;12,92;599
63545;HERVE;7;467;786,5;13,11;492
87918;BERGER;7;467;809;13,48;310
67877;GONZALEZ;7;467;809,5;13,49;306
74314;ALLARD;7;467;851,5;14,19;134
50088;PAGES;7;467;874,5;14,58;74
106522;BOUTIN;7;467;961,75;16,03;8
82848;GUILLOU;7;467,5;740,25;12,34;959
95146;GERARD;7;467,5;805,25;13,42;336
90162;RODRIGUEZ;7;468;728,75;12,15;1114
7277;COUSIN;7;468;767,25;12,79;671
10772;RENAULT;7;468;777,25;12,95;574
64769;JOLY;7;469;774;12,9;608
73565;MARECHAL;7;469;852,25;14,2;132
25569;LANGLOIS;7;469;914;15,23;21
52993;CHAUVET;7;469;925,5;15,43;16
17465;GUICHARD;7;470;769,75;12,83;651
23872;JACOB;7;470;788,75;13,15;469
112662;LEFORT;7;470,5;860,75;14,35;102
78862;GUICHARD;7;471;768;12,8;666
99323;LECONTE;7;471;770;12,83;648
101194;HENRY;7;471;775;12,92;598
33352;LACOMBE;7;471;786,75;13,11;489
40006;PERRET;7;471;789,5;13,16;465
48604;BUISSON;7;471;801;13,35;365
42089;LEFEBVRE;7;471;804;13,4;343
67225;GIMENEZ;7;471;827,5;13,79;204
31602;PONS;7;472;793,5;13,23;438
16460;HAMEL;7;472;892;14,87;45
57161;COUSIN;7;472,5;734;12,23;1044
78345;LEBLANC;7;473;727,25;12,12;1138
16813;BAUDRY;7;473;784,25;13,07;513
20646;BOYER;7;473;786,5;13,11;495
105735;MAILLOT;7;473;804,25;13,4;341
52032;PASQUIER;7;473;826,25;13,77;215
26512;DELATTRE;7;473;834,25;13,9;175
96116;LELIEVRE;7;473;912,75;15,21;22
115683;GONCALVES;7;473,5;817,25;13,62;262
101205;LEDUC;7;474;776;12,93;591
58049;FOURNIER;7;474;866,75;14,45;91
1428;NGUYEN;7;474,5;801,5;13,36;359
32323;PEREZ;7;475;797,75;13,3;402
20678;LETELLIER;7;475;806;13,43;330
105519;MULLER;7;475;817;13,62;264
1809;CARON;7;475,5;799,75;13,33;384
17303;RODRIGUES;7;475,5;811,25;13,52;296
65367;DA COSTA;7;476;790,75;13,18;458
95670;PERRIER;7;476;796;13,27;414
22328;VALENTIN;7;476;802;13,37;355
13070;PIERRE;7;476;812,25;13,54;291
24207;MULLER;7;476;834,25;13,9;174
64409;BOUCHET;7;477;821,25;13,69;239
20579;DANIEL;7;477;868,75;14,48;86
9968;DUPONT;7;478;820,5;13,68;246
30640;PEREIRA;7;478;826;13,77;216
66558;MATHIEU;7;478;838,75;13,98;161
22658;DUPUY;7;478;855;14,25;121
96304;TURPIN;7;478;924,75;15,41;17
33864;VALLET;7;478,5;938,5;15,64;13
22668;CHEVALIER;7;479;798,25;13,3;398
36314;RIBEIRO;7;479;803,25;13,39;350
116432;BAZIN;7;479;818;13,63;257
107173;HERNANDEZ;7;479;818,5;13,64;253
27444;THIERRY;7;479;820,75;13,68;245
102952;HEBERT;7;479;848,75;14,15;138
12732;BENARD;7;480;820,75;13,68;242
41749;FISCHER;7;481;775,25;12,92;594
6486;ROUSSEL;7;481;780,75;13,01;546
23755;MARTEL;7;481;792,75;13,21;443
31010;MARTY;7;481;794,75;13,25;421
117162;LOPEZ;7;481;828,5;13,81;200
49497;LOPES;7;481;839,75;14;158
47559;TEIXEIRA;7;481;856,25;14,27;112
90759;VALENTIN;7;481;860;14,33;104
50002;PREVOST;7;482;777;12,95;577
27679;HOARAU;7;482;777;12,95;581
46429;LE ROUX;7;482;796,25;13,27;412
20728;VAILLANT;7;482;805;13,42;339
15567;PASCAL;7;482;827,5;13,79;206
44920;JACQUET;7;482;852,75;14,21;128
92689;ROUSSET;7;482;884,25;14,74;57
113067;PASQUIER;7;483;816,75;13,61;265
96653;PAGES;7;483;860,5;14,34;103
49886;FERREIRA;7;483,5;981,75;16,36;2
99532;DELAUNAY;7;484;817,25;13,62;260
51598;MARQUES;7;484;829,25;13,82;193
66104;PEREZ;7;484;888,25;14,8;51
101767;MOULIN;7;484;888,5;14,81;50
75773;PASQUIER;7;484;905;15,08;29
109036;MAILLARD;7;484,5;811,25;13,52;297
29852;KLEIN;7;485;791;13,18;456
28929;DUPUY;7;485;814,25;13,57;278
5072;GUIBERT;7;485;816;13,6;267
91936;GREGOIRE;7;485;853;14,22;126
22630;ADAM;7;485;963,75;16,06;7
65109;MAILLOT;7;486;813,25;13,55;285
17617;MAILLET;7;486;944,5;15,74;12
51234;MAILLET;7;487;789,25;13,15;468
92009;ROUSSEL;7;487;804;13,4;342
98731;DIALLO;7;487;833,25;13,89;181
34633;FRANCOIS;7;487;846,5;14,11;140
22543;ARNAUD;7;488;810;13,5;305
49416;PASQUIER;7;489;819;13,65;251
66710;LECLERCQ;7;489;845;14,08;142
104354;FISCHER;7;490;841;14,02;153
86156;PEREZ;7;490;855,75;14,26;116
96357;CARON;7;490;902,25;15,04;34
58888;BONNET;7;491;814,5;13,58;276
24815;DUPUY;7;491;851;14,18;136
55920;FOUQUET;7;492;799,25;13,32;389
84061;ROLLAND;7;492;808,5;13,48;312
48398;PARENT;7;492;815,25;13,59;270
76367;ROUSSEAU;7;492;858,25;14,3;111
86645;MARTIN;7;492,5;870;14,5;82
56226;PETIT;7;493;833,5;13,89;178
88784;GODARD;7;493,5;830;13,83;187
84677;LANGLOIS;7;494;820,75;13,68;241
63789;ROCHE;7;494;892;14,87;44
65335;CHAUVET;7;495;795,75;13,26;416
